club_name,club_tm_id,league,season,market_value_m,club_url
West Ham United,379,Premier League,2022-2023,465.6,https://www.transfermarkt.fr/west-ham-united/startseite/verein/379/saison_id/2022
Wolverhampton Wanderers,543,Premier League,2022-2023,497.65,https://www.transfermarkt.fr/wolverhampton-wanderers/startseite/verein/543/saison_id/2022
AFC Bournemouth,989,Premier League,2023-2024,401.75,https://www.transfermarkt.fr/afc-bournemouth/startseite/verein/989/saison_id/2023
Arsenal FC,11,Premier League,2023-2024,1200.0,https://www.transfermarkt.fr/fc-arsenal/startseite/verein/11/saison_id/2023
Aston Villa,405,Premier League,2023-2024,709.65,https://www.transfermarkt.fr/aston-villa/startseite/verein/405/saison_id/2023
Brighton & Hove Albion,1237,Premier League,2023-2024,524.4,https://www.transfermarkt.fr/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2023
Burnley FC,1132,Premier League,2023-2024,273.48,https://www.transfermarkt.fr/fc-burnley/startseite/verein/1132/saison_id/2023
Chelsea FC,631,Premier League,2023-2024,1010.0,https://www.transfermarkt.fr/fc-chelsea/startseite/verein/631/saison_id/2023
Crystal Palace,873,Premier League,2023-2024,446.58,https://www.transfermarkt.fr/crystal-palace/startseite/verein/873/saison_id/2023
FC Brentford,1148,Premier League,2023-2024,428.78,https://www.transfermarkt.fr/fc-brentford/startseite/verein/1148/saison_id/2023
FC Everton,29,Premier League,2023-2024,391.75,https://www.transfermarkt.fr/fc-everton/startseite/verein/29/saison_id/2023
FC Fulham,931,Premier League,2023-2024,384.35,https://www.transfermarkt.fr/fc-fulham/startseite/verein/931/saison_id/2023
FC Liverpool,31,Premier League,2023-2024,955.65,https://www.transfermarkt.fr/fc-liverpool/startseite/verein/31/saison_id/2023
Luton Town,1031,Premier League,2023-2024,140.9,https://www.transfermarkt.fr/luton-town/startseite/verein/1031/saison_id/2023
Manchester City,281,Premier League,2023-2024,1460.0,https://www.transfermarkt.fr/manchester-city/startseite/verein/281/saison_id/2023
Manchester United,985,Premier League,2023-2024,808.35,https://www.transfermarkt.fr/manchester-united/startseite/verein/985/saison_id/2023
Newcastle United,762,Premier League,2023-2024,652.25,https://www.transfermarkt.fr/newcastle-united/startseite/verein/762/saison_id/2023
Nottingham Forest,703,Premier League,2023-2024,501.35,https://www.transfermarkt.fr/nottingham-forest/startseite/verein/703/saison_id/2023
Sheffield United,350,Premier League,2023-2024,152.35,https://www.transfermarkt.fr/sheffield-united/startseite/verein/350/saison_id/2023
Tottenham Hotspur,148,Premier League,2023-2024,838.5,https://www.transfermarkt.fr/tottenham-hotspur/startseite/verein/148/saison_id/2023
West Ham United,379,Premier League,2023-2024,487.5,https://www.transfermarkt.fr/west-ham-united/startseite/verein/379/saison_id/2023
